property_name,areaWithType,square_feet,transaction,status,floor,furnishing,price_per_sqft,num_floor,price_lakh,bhk
2 BHK  House for Sale in Masma Village Surat,Super Area,720.0,Resale,Ready to Move,0,Unfurnished,4028.0,1,29.0,2.0
"2 BHK Apartment for Sale in Sangini Swaraj, Jahangir Pura Surat",Super Area,1050.0,Resale,Ready to Move,8,Unfurnished,3714.0,12,39.0,2.0
1 BHK Apartment for Sale in Vadod Gam Surat,Super Area,671.0,Resale,Ready to Move,2,Semi-Furnished,2683.0,5,18.0,1.0
4 BHK Apartment for Sale in Udhna Surat,Super Area,1360.0,Resale,Ready to Move,2,Semi-Furnished,2647.0,2,36.0,4.0
2 BHK Apartment for Sale in Althan Surat,Super Area,1241.0,New Property,Possession,7,Unfurnished,3626.0,12,45.0,2.0
2 BHK Builder Floor for Sale in Jahangir Pura Surat,Super Area,1150.0,Resale,Ready to Move,3,Unfurnished,2783.0,6,32.0,2.0
"3 BHK Apartment for Sale in Penttagon Residency, Palanpur Jakatnaka Surat",Super Area,1384.0,New Property,Ready to Move,7,Unfurnished,3505.0,13,48.5,3.0
"1 BHK Apartment for Sale in Regent Plaza, Dindoli Surat",Carpet Area,546.0,Resale,Ready to Move,2,Semi-Furnished,2597.0,5,22.0,1.0
2 BHK  House for Sale in Unn Patiya Surat,Super Area,547.0,Resale,Ready to Move,1,Furnished,5484.0,1,30.0,2.0
2 BHK  House for Sale in Sayan Surat,Super Area,800.0,Resale,Ready to Move,0,Unfurnished,2000.0,1,16.0,2.0
3 BHK  House for Sale in Dindoli Surat,Carpet Area,532.0,New Property,Ready to Move,0,Semi-Furnished,6203.0,1,33.0,3.0
1 BHK Builder Floor for Sale in Bhatar Surat,Super Area,800.0,Resale,Ready to Move,1,Furnished,3500.0,4,28.0,1.0
3 BHK Apartment for Sale in Morabhagal Surat,Carpet Area,745.0,Resale,Ready to Move,9,Semi-Furnished,2909.0,14,32.0,3.0
2 BHK Apartment for Sale in Palanpur Gam Surat,Carpet Area,980.0,Resale,Ready to Move,1,Furnished,3281.0,12,42.0,2.0
1 BHK Builder Floor for Sale in Nan Pura Surat,Super Area,650.0,Resale,Ready to Move,3,Unfurnished,3385.0,4,22.0,1.0
1 BHK Apartment for Sale in Royal plaza socity Surat,Carpet Area,500.0,Resale,Ready to Move,3,Semi-Furnished,2800.0,4,21.0,1.0
"3 BHK Apartment for Sale in Varni Siddheshwar Heights, Sarthana Jakat Naka Surat",Carpet Area,602.0,Resale,Possession,10,Semi-Furnished,3728.0,14,34.0,3.0
1 BHK Apartment for Sale in 103 AjithNath Awas Surat,Super Area,630.0,Resale,Ready to Move,1,Unfurnished,3333.0,4,21.0,1.0
"2 BHK Apartment for Sale in Shiv Samarth 1, Pal Gam Surat",Super Area,1127.0,Resale,Ready to Move,16,Unfurnished,4259.0,19,48.0,2.0
2 BHK Apartment for Sale in Mota Varachha Surat,Super Area,1312.0,Resale,Ready to Move,2,Unfurnished,3800.0,5,49.9,2.0
"2 BHK Apartment for Sale in Vaidehi Heights, Dindoli Surat",Super Area,951.0,Resale,Ready to Move,2,Furnished,2944.0,12,28.0,2.0
"2 BHK Apartment for Sale in Salasar Icon, Dindoli Surat",Carpet Area,1136.0,Resale,Ready to Move,1,Unfurnished,2817.0,1,32.0,2.0
"2 BHK Apartment for Sale in JT Stuti Highland, Palanpur Surat",Carpet Area,1265.0,Resale,Ready to Move,13,Unfurnished,3162.0,13,40.0,2.0
2 BHK  House for Sale in Olpad Sayan Road Surat,Super Area,850.0,Resale,Ready to Move,0,Unfurnished,2118.0,1,18.0,2.0
4 BHK  House for Sale in Navagam Surat,Super Area,1450.0,Resale,Ready to Move,0,Unfurnished,2069.0,2,30.0,4.0
1 BHK  House for Sale in Bardoli Surat,Super Area,500.0,Resale,Ready to Move,0,Unfurnished,2800.0,1,14.0,1.0
1 BHK Apartment for Sale in Suman sagar  vesu surat Surat,Super Area,450.0,Resale,Ready to Move,6,Unfurnished,3000.0,8,13.5,1.0
2 BHK Apartment for Sale in Surat,Super Area,1040.0,Resale,Ready to Move,2,Unfurnished,3846.0,5,40.0,2.0
"1 BHK Apartment for Sale in Pooja Flats, Adajan Surat",Super Area,700.0,Resale,Ready to Move,2,Furnished,2857.0,4,20.0,1.0
1 BHK Builder Floor for Sale in LP Savani Surat,Super Area,570.0,Resale,Ready to Move,4,Semi-Furnished,3509.0,5,20.0,1.0
"2 BHK Apartment for Sale in Vraj Township, Jahangir Pura Surat",Carpet Area,880.0,New Property,Ready to Move,1,Semi-Furnished,2564.0,5,30.0,2.0
"1 BHK Apartment for Sale in Akash Weekend Address, Dumas Road Surat",Carpet Area,580.0,Resale,Ready to Move,9,Unfurnished,4569.0,11,26.5,1.0
"2 BHK Apartment for Sale in Swapna Srusthi Residency Plots, Bhestan Surat",Carpet Area,750.0,Resale,Ready to Move,1,Semi-Furnished,2722.0,4,24.5,2.0
2 BHK Apartment for Sale in real kedar bhavan Surat,Carpet Area,800.0,Resale,Ready to Move,8,Furnished,2719.0,8,32.0,2.0
"2 BHK Apartment for Sale in Mahavir Residency, Rander Road Surat",Carpet Area,1326.0,Resale,Ready to Move,3,Semi-Furnished,3333.0,9,50.0,2.0
